Points For,Points Against,Strength of Schedule,Yards Per Play,Turnovers,Yards From Penalties,Offensive Rating,Defensive Rating,Location
4.5625,-5.0,-0.7,0.0,0.625,-11.1875,4.300000000000001,4.6000000000000005,1.0
-4.0,-3.8125,-2.7,-0.5999999999999996,0.5625,-0.375,-5.199999999999999,2.3,-1.0
-2.75,-2.25,-1.0,-0.7999999999999998,0.75,11.875,-3.2,1.7000000000000002,-1.0
6.875,-0.6875,-1.8,0.0,0.25,-5.6875,6.800000000000001,-0.9999999999999999,1.0
3.6875,-2.0,-1.1,-0.5,0.4375,-10.9375,3.1,1.5,-1.0
-0.0625,-3.125,-0.49999999999999994,-0.5999999999999996,0.375,-2.75,-0.2,2.8,1.0
-0.625,5.1875,-1.0,-0.20000000000000018,1.0625,-3.75,-0.9,-6.0,-1.0
-2.5,-1.3125,-1.1,-1.0,0.5,-3.75,-3.4,1.1,1.0
-3.6875,-0.1875,-0.29999999999999993,-0.5,0.25,-3.0,-3.5,-0.29999999999999993,-1.0
-5.5,-0.75,-1.2999999999999998,-1.2999999999999998,0.8125,-15.0625,-6.0,-0.09999999999999998,1.0
7.1875,-3.75,1.0,0.6000000000000005,-0.25,-17.9375,7.800000000000001,4.2,1.0
-0.125,-0.6875,1.1,-0.09999999999999964,0.75,7.4375,0.4,1.3,-1.0
-1.125,-3.625,-2.0999999999999996,-0.20000000000000018,-0.625,6.75,-1.9000000000000001,2.3,1.0
6.125,-4.25,-0.5999999999999999,1.0,-1.25,-8.4375,6.1000000000000005,3.6999999999999997,-1.0
-1.1875,-1.1875,-0.4999999999999998,0.2999999999999998,-0.25,16.9375,-1.3,0.8,-1.0
1.375,-6.375,-2.6999999999999997,0.1999999999999993,-1.0625,1.6875,0.0,5.0,1.0
-4.1875,-1.0,-0.8999999999999999,-0.40000000000000036,-0.625,2.25,-4.9,0.8,-1.0
-7.875,3.625,-1.5999999999999999,-0.5,-0.375,14.5,-8.3,-4.8999999999999995,1.0
-1.0625,-1.0,-3.4,-0.20000000000000018,-0.75,-7.25,-2.9000000000000004,-0.6,-1.0
6.125,-4.25,-0.5999999999999999,1.0,-1.25,-8.4375,6.1000000000000005,3.6999999999999997,1.0
-1.1875,-1.1875,-0.4999999999999998,0.2999999999999998,-0.25,16.9375,-1.3,0.8,1.0
